local_id,alert_type,env,qp_team,"tier",service,resource_name,query,monitor_text,notification,warning_threshold,warning_recovery_threshold,critical_threshold,critical_recovery_threshold,remediation_steps,silenced
D-M-SPKS3,duration_metric,dev,messaging,"2",lambda,neptune-api-lambda-sparkpost-s3-Dev,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-api-lambda-sparkpost-s3-dev} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-L-SPKPROC,log,dev,messaging,"2",lambda,neptune-api-lambda-sparkpost-processor-Dev,"logs(""status:(critical OR error) service:neptune-api-lambda-sparkpost-processor-dev @aws.awslogs.owner:546627090205"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-M-SPKPROC,duration_metric,dev,messaging,"2",lambda,neptune-api-lambda-sparkpost-processor-Dev,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-api-lambda-sparkpost-processor-dev} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-L-PROOF,log,dev,messaging,"2",lambda,neptune-backend-lambda-post-message-proof-creation-process-Dev,"logs(""status:(critical OR error) service:neptune-backend-lambda-post-message-proof-creation-process-dev @aws.awslogs.owner:546627090205"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-M-PROOF,duration_metric,dev,messaging,"2",lambda,neptune-backend-lambda-post-message-proof-creation-process-Dev,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-backend-lambda-post-message-proof-creation-process-dev} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-L-CHANGE,log,dev,messaging,"2",lambda,neptune-backend-lambda-post-message-table-change-process-Dev,"logs(""status:(critical OR error) service:neptune-backend-lambda-post-message-table-change-process-dev @aws.awslogs.owner:546627090205"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-M-CHANGE,duration_metric,dev,messaging,"2",lambda,neptune-backend-lambda-post-message-table-change-process-Dev,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-backend-lambda-post-message-table-change-process-dev} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-L-CRUD,log,dev,messaging,"2",lambda,neptune-backend-lambda-post-crud-message-request-process-Dev,"logs(""status:(critical OR error) service:neptune-backend-lambda-post-crud-message-request-process-dev @aws.awslogs.owner:546627090205"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-M-CRUD,duration_metric,dev,messaging,"2",lambda,neptune-backend-lambda-post-crud-message-request-process-Dev,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-backend-lambda-post-crud-message-request-process-dev} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-L-BTASKS,log,dev,messaging,"2",lambda,neptune-backend-lambda-message-request-btasks-dispatcher-Dev,"logs(""status:(critical OR error) service:neptune-backend-lambda-message-request-btasks-dispatcher-dev @aws.awslogs.owner:546627090205"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-M-BTASKS,duration_metric,dev,messaging,"2",lambda,neptune-backend-lambda-message-request-btasks-dispatcher-Dev,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-backend-lambda-message-request-btasks-dispatcher-dev} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-E-STEP,event,dev,,"2",sfn,,"events(""priority:normal status:error tags:service:sfn,env:dev
"").rollup(""count"").last(""5m"") > 0",Step Function Error Alert,@DevOpsNotifications@quickpivot.com,,,,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-L-BATCHSEND,log,dev,messaging,"2",batch,message-to-send-creator,"logs(""status:(critical OR error) source:cloudwatch @aws.awslogs.batchJobQueue:messages-to-send-creator @aws.awslogs.owner:546627090205"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-L-BATCHCSV,log,dev,messaging,"2",batch,message-csv-generator,"logs(""status:(critical OR error) source:cloudwatch @aws.awslogs.batchJobQueue:message-csv-generator @aws.awslogs.owner:546627090205"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-L-BATCHSPK,log,dev,messaging,"2",batch,send-messages-to_sparkpost,"logs(""status:(critical OR error) source:cloudwatch @aws.awslogs.batchJobQueue:send-messages-to_sparkpost @aws.awslogs.owner:546627090205"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-L-BATCHJOURNEY,log,dev,journey,"2",batch,dev-neptunejourneybackendprocess-BatchJobQueue,"logs(""status:(critical OR error) source:cloudwatch @aws.awslogs.batchJobQueue:dev-neptunejourneybackendprocess-BatchJobQueue @aws.awslogs.owner:546627090205"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-L-JNYCRUD,log,dev,journey,"2",lambda,neptune-api-lambda-journeys-crud-Dev,"logs(""status:(critical OR error) service:neptune-api-lambda-journeys-crud-dev @aws.awslogs.owner:546627090205"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-M-JNYCRUD,duration_metric,dev,journey,"2",lambda,neptune-api-lambda-journeys-crud-Dev,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-api-lambda-journeys-crud-dev} > 6000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,4000,3000,6000,5000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-L-JNYEXEC,log,dev,journey,"2",lambda,neptune-backend-journey-execution-Dev,"logs(""status:(critical OR error) service:neptune-backend-journey-execution-dev @aws.awslogs.owner:546627090205"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-M-JNYEXEC,duration_metric,dev,journey,"2",lambda,neptune-backend-journey-execution-Dev,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-backend-journey-execution-dev} > 9000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,7000,6000,9000,8000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
D-L-QUERY,log,dev,segmentation,"2",query_service,Query Service,"logs(""status:(critical OR error) source:cloudwatch host:""/queryservice/logs"" @aws.awslogs.owner:546627090205"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-L-RUN,log,qa,data,"2",lambda,neptune-lambda-run-statement-aurora,"logs(""status:(critical OR error) service:neptune-lambda-run-statement-aurora @aws.awslogs.owner:618999335514"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-M-RUN,duration_metric,qa,data,"2",lambda,neptune-lambda-run-statement-aurora,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-lambda-run-statement-aurora} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-L-SCHEMA,log,qa,data,"2",lambda,getConnectorSchemaTables-QA,"logs(""status:(critical OR error) service:getconnectorschematables-qa @aws.awslogs.owner:618999335514"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-M-SCHEMA,duration_metric,qa,data,"2",lambda,getConnectorSchemaTables-QA,avg(last_1h):avg:aws.lambda.duration.p95{functionname:getconnectorschematables-qa} > 18000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,16000,14000,18000,16000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-L-DATA,log,qa,data,"2",lambda,getConnectorSampleData-QA,"logs(""status:(critical OR error) service:getconnectorsampledata-qa @aws.awslogs.owner:618999335514"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-M-DATA,duration_metric,qa,data,"2",lambda,getConnectorSampleData-QA,avg(last_1h):avg:aws.lambda.duration.p95{functionname:getconnectorsampledata-qa} > 6000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,4000,3000,6000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-L-CDATA,log,qa,data,"2",lambda,neptune-lambda-validatecdata-QA,"logs(""status:(critical OR error) service:neptune-lambda-validatecdata-qa @aws.awslogs.owner:618999335514"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-M-CDATA,duration_metric,qa,data,"2",lambda,neptune-lambda-validatecdata-QA,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-lambda-validatecdata-qa} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-L-SPKAUR,log,qa,messaging,"2",lambda,neptune-api-lambda-sparkpost-aurora-QA,"logs(""status:(critical OR error) service:neptune-api-lambda-sparkpost-aurora-qa @aws.awslogs.owner:618999335514"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-M-SPKAUR,duration_metric,qa,messaging,"2",lambda,neptune-api-lambda-sparkpost-aurora-QA,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-api-lambda-sparkpost-aurora-qa} > 6000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,4000,3000,6000,5000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-L-SPKS3,log,qa,messaging,"2",lambda,neptune-api-lambda-sparkpost-s3-QA,"logs(""status:(critical OR error) service:neptune-api-lambda-sparkpost-s3-qa @aws.awslogs.owner:618999335514"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-M-SPKS3,duration_metric,qa,messaging,"2",lambda,neptune-api-lambda-sparkpost-s3-QA,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-api-lambda-sparkpost-s3-qa} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-L-SPKPROC,log,qa,messaging,"2",lambda,neptune-api-lambda-sparkpost-processor-QA,"logs(""status:(critical OR error) service:neptune-api-lambda-sparkpost-processor-qa @aws.awslogs.owner:618999335514"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-M-SPKPROC,duration_metric,qa,messaging,"2",lambda,neptune-api-lambda-sparkpost-processor-QA,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-api-lambda-sparkpost-processor-qa} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-L-PROOF,log,qa,messaging,"2",lambda,neptune-backend-lambda-post-message-proof-creation-process-QA,"logs(""status:(critical OR error) service:neptune-backend-lambda-post-message-proof-creation-process-qa @aws.awslogs.owner:618999335514"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-M-PROOF,duration_metric,qa,messaging,"2",lambda,neptune-backend-lambda-post-message-proof-creation-process-QA,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-backend-lambda-post-message-proof-creation-process-qa} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-L-CHANGE,log,qa,messaging,"2",lambda,neptune-backend-lambda-post-message-table-change-process-QA,"logs(""status:(critical OR error) service:neptune-backend-lambda-post-message-table-change-process-qa @aws.awslogs.owner:618999335514"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-M-CHANGE,duration_metric,qa,messaging,"2",lambda,neptune-backend-lambda-post-message-table-change-process-QA,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-backend-lambda-post-message-table-change-process-qa} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-L-CRUD,log,qa,messaging,"2",lambda,neptune-backend-lambda-post-crud-message-request-process-QA,"logs(""status:(critical OR error) service:neptune-backend-lambda-post-crud-message-request-process-qa @aws.awslogs.owner:618999335514"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-M-CRUD,duration_metric,qa,messaging,"2",lambda,neptune-backend-lambda-post-crud-message-request-process-QA,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-backend-lambda-post-crud-message-request-process-qa} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-L-BTASKS,log,qa,messaging,"2",lambda,neptune-backend-lambda-message-request-btasks-dispatcher-QA,"logs(""status:(critical OR error) service:neptune-backend-lambda-message-request-btasks-dispatcher-qa @aws.awslogs.owner:618999335514"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-M-BTASKS,duration_metric,qa,messaging,"2",lambda,neptune-backend-lambda-message-request-btasks-dispatcher-QA,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-backend-lambda-message-request-btasks-dispatcher-qa} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-E-STEP,event,qa,,"2",sfn,,"events(""priority:normal status:error tags:service:sfn,env:qa"").rollup(""count"").last(""5m"") > 0",Step Function Error Alert,@DevOpsNotifications@quickpivot.com,,,,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-L-BATCHSEND,log,qa,messaging,"2",batch,message-to-send-creator,"logs(""status:(critical OR error) source:cloudwatch @aws.awslogs.batchJobQueue:messages-to-send-creator @aws.awslogs.owner:618999335514"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-L-BATCHCSV,log,qa,messaging,"2",batch,message-csv-generator,"logs(""status:(critical OR error) source:cloudwatch @aws.awslogs.batchJobQueue:message-csv-generator @aws.awslogs.owner:618999335514"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-L-BATCHSPK,log,qa,messaging,"2",batch,send-messages-to_sparkpost,"logs(""status:(critical OR error) source:cloudwatch @aws.awslogs.batchJobQueue:send-messages-to_sparkpost @aws.awslogs.owner:618999335514"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-L-BATCHJOURNEY,log,qa,journey,"2",batch,qa-neptunejourneybackendprocess-BatchJobQueue,"logs(""status:(critical OR error) source:cloudwatch @aws.awslogs.batchJobQueue:qa-neptunejourneybackendprocess-BatchJobQueue @aws.awslogs.owner:618999335514"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-L-JNYCRUD,log,qa,journey,"2",lambda,neptune-api-lambda-journeys-crud-QA,"logs(""status:(critical OR error) service:neptune-api-lambda-journeys-crud-qa @aws.awslogs.owner:618999335514"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-M-JNYCRUD,duration_metric,qa,journey,"2",lambda,neptune-api-lambda-journeys-crud-QA,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-api-lambda-journeys-crud-qa} > 6000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,4000,3000,6000,5000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-L-JNYEXEC,log,qa,journey,"2",lambda,neptune-backend-journey-execution-QA,"logs(""status:(critical OR error) service:neptune-backend-journey-execution-qa @aws.awslogs.owner:618999335514"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-M-JNYEXEC,duration_metric,qa,journey,"2",lambda,neptune-backend-journey-execution-QA,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-backend-journey-execution-qa} > 9000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,7000,6000,9000,8000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
Q-L-QUERY,log,qa,segmentation,"2",query_service,Query Service,"logs(""status:(critical OR error) source:cloudwatch host:""/queryservice/logs"" @aws.awslogs.owner:618999335514"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-L-RUN,log,prod,data,"2",lambda,neptune-lambda-run-statement-aurora,"logs(""status:(critical OR error) service:neptune-lambda-run-statement-aurora @aws.awslogs.owner:110990838838"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-M-RUN,duration_metric,prod,data,"2",lambda,neptune-lambda-run-statement-aurora,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-lambda-run-statement-aurora} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-L-SCHEMA,log,prod,data,"2",lambda,getConnectorSchemaTables-Prod,"logs(""status:(critical OR error) service:getconnectorschematables-Prod @aws.awslogs.owner:110990838838"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-M-SCHEMA,duration_metric,prod,data,"2",lambda,getConnectorSchemaTables-Prod,avg(last_1h):avg:aws.lambda.duration.p95{functionname:getconnectorschematables-prod} > 18000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,16000,14000,18000,16000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-L-DATA,log,prod,data,"2",lambda,getConnectorSampleData-Prod,"logs(""status:(critical OR error) service:getconnectorsampledata-prod @aws.awslogs.owner:110990838838"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-M-DATA,duration_metric,prod,data,"2",lambda,getConnectorSampleData-Prod,avg(last_1h):avg:aws.lambda.duration.p95{functionname:getconnectorsampledata-prod} > 6000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,4000,3000,6000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-L-CDATA,log,prod,data,"2",lambda,neptune-lambda-validatecdata-Prod,"logs(""status:(critical OR error) service:neptune-lambda-validatecdata-prod @aws.awslogs.owner:110990838838"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-M-CDATA,duration_metric,prod,data,"2",lambda,neptune-lambda-validatecdata-Prod,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-lambda-validatecdata-prod} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-L-SPKAUR,log,prod,messaging,"2",lambda,neptune-api-lambda-sparkpost-aurora-Prod,"logs(""status:(critical OR error) service:neptune-api-lambda-sparkpost-aurora-prod @aws.awslogs.owner:110990838838"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-M-SPKAUR,duration_metric,prod,messaging,"2",lambda,neptune-api-lambda-sparkpost-aurora-Prod,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-api-lambda-sparkpost-aurora-prod} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-L-SPKS3,log,prod,messaging,"2",lambda,neptune-api-lambda-sparkpost-s3-Prod,"logs(""status:(critical OR error) service:neptune-api-lambda-sparkpost-s3-prod @aws.awslogs.owner:110990838838"").index(""main"").rollup(""count"").last(""5m"") > 10",has >10 error logs,@DevOpsNotifications@quickpivot.com,5,,10,,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
P-M-SPKS3,duration_metric,prod,messaging,"2",lambda,neptune-api-lambda-sparkpost-s3-Prod,avg(last_1h):avg:aws.lambda.duration.p95{functionname:neptune-api-lambda-sparkpost-s3-prod} > 5000,is performing slower than normal,@DevOpsNotifications@quickpivot.com,3000,2000,5000,4000,1. Step TBD<br>2. Step TBD<br>3. Step TBD,-1
